hedId	Level	rdfs:label	omn:SubClassOf	Attributes	dc:description
	3	Switched-attention	Task-attentional-demand		Having to switch attention between two or more modalities of presentation.
	3	Top-down-attention	Task-attentional-demand	relatedTag=Bottom-up-attention	Voluntary allocation of attention to certain features. Sometimes this is referred to goal-oriented attention.
	2	Task-effect-evidence	Task-property		The evidence supporting the conclusion that the event had the specified effect.
	3	Behavioral-evidence	Task-effect-evidence		An indication or conclusion based on the behavior of an agent.
	3	Computational-evidence	Task-effect-evidence		A type of evidence in which data are produced, and/or generated, and/or analyzed on a computer.
	3	External-evidence	Task-effect-evidence		A phenomenon that follows and is caused by some previous phenomenon.
	3	Intended-effect	Task-effect-evidence		A phenomenon that is intended to follow and be caused by some previous phenomenon.
	2	Task-event-role	Task-property		The purpose of an event with respect to the task.
	3	Experimental-stimulus	Task-event-role		Part of something designed to elicit a response in the experiment.
	3	Incidental	Task-event-role		A sensory or other type of event that is unrelated to the task or experiment.
	3	Instructional	Task-event-role		Usually associated with a sensory event intended to give instructions to the participant about the task or behavior.
	3	Mishap	Task-event-role		Unplanned disruption such as an equipment or experiment control abnormality or experimenter error.
	3	Participant-response	Task-event-role		Something related to a participant actions in performing the task.
	3	Task-activity	Task-event-role		Something that is part of the overall task or is necessary to the overall experiment but is not directly part of a stimulus-response cycle. Examples would be taking a survey or provided providing a silva sample.
	3	Warning	Task-event-role		Something that should warn the participant that the parameters of the task have been or are about to be exceeded such as a warning message about getting too close to the shoulder of the road in a driving task.
	2	Task-relationship	Task-property		Specifying organizational importance of sub-tasks.
	3	Background-subtask	Task-relationship		A part of the task which should be performed in the background as for example inhibiting blinks due to instruction while performing the primary task.
	3	Primary-subtask	Task-relationship		A part of the task which should be the primary focus of the participant.
	2	Task-stimulus-role	Task-property		The role the stimulus plays in the task.
	3	Cue	Task-stimulus-role		A signal for an action, a pattern of stimuli indicating a particular response.
	3	Distractor	Task-stimulus-role		A person or thing that distracts or a plausible but incorrect option in a multiple-choice question. In pyschological studies this is sometimes referred to as a foil.
	3	Expected	Task-stimulus-role	relatedTag=Unexpected, suggestedTag=Target	Considered likely, probable or anticipated. Something of low information value as in frequent non-targets in an RSVP paradigm.
	3	Extraneous	Task-stimulus-role		Irrelevant or unrelated to the subject being dealt with.
	3	Feedback	Task-stimulus-role		An evaluative response to an inquiry, process, event, or activity.
	3	Go-signal	Task-stimulus-role	relatedTag=Stop-signal	An indicator to proceed with a planned action.
	3	Meaningful	Task-stimulus-role		Conveying significant or relevant information.
	3	Newly-learned	Task-stimulus-role		Representing recently acquired information or understanding.
	3	Non-informative	Task-stimulus-role		Something that is not useful in forming an opinion or judging an outcome.
	3	Non-target	Task-stimulus-role	relatedTag=Target	Something other than that done or looked for. Also tag Expected if the Non-target is frequent.
	3	Not-meaningful	Task-stimulus-role		Not having a serious, important, or useful quality or purpose.
	3	Novel	Task-stimulus-role		Having no previous example or precedent or parallel.
	3	Oddball	Task-stimulus-role	relatedTag=Unexpected, suggestedTag=Target	Something unusual, or infrequent.
	3	Penalty	Task-stimulus-role		A disadvantage, loss, or hardship due to some action.
	3	Planned	Task-stimulus-role	relatedTag=Unplanned	Something that was decided on or arranged in advance.
	3	Priming	Task-stimulus-role		An implicit memory effect in which exposure to a stimulus influences response to a later stimulus.
	3	Query	Task-stimulus-role		A sentence of inquiry that asks for a reply.
	3	Reward	Task-stimulus-role		A positive reinforcement for a desired action, behavior or response.
	3	Stop-signal	Task-stimulus-role	relatedTag=Go-signal	An indicator that the agent should stop the current activity.
	3	Target	Task-stimulus-role		Something fixed as a goal, destination, or point of examination.
	3	Threat	Task-stimulus-role		An indicator that signifies hostility and predicts an increased probability of attack.
	3	Timed	Task-stimulus-role		Something planned or scheduled to be done at a particular time or lasting for a specified amount of time.
	3	Unexpected	Task-stimulus-role	relatedTag=Expected	Something that is not anticipated.
	3	Unplanned	Task-stimulus-role	relatedTag=Planned	Something that has not been planned as part of the task.
	0	Relation	HedTag	extensionAllowed	Concerns the way in which two or more people or things are connected.
	1	Comparative-relation	Relation		Something considered in comparison to something else. The first entity is the focus.
	2	Approximately-equal-to	Comparative-relation		(A, (Approximately-equal-to, B)) indicates that A and B have almost the same value. Here A and B could refer to sizes, orders, positions or other quantities.
	2	Equal-to	Comparative-relation		(A, (Equal-to, B)) indicates that the size or order of A is the same as that of B.
	2	Greater-than	Comparative-relation		(A, (Greater-than, B)) indicates that the relative size or order of A is bigger than that of B.
	2	Greater-than-or-equal-to	Comparative-relation		(A, (Greater-than-or-equal-to, B)) indicates that the relative size or order of A is bigger than or the same as that of B.
	2	Less-than	Comparative-relation		(A, (Less-than, B)) indicates that A is smaller than B. Here A and B could refer to sizes, orders, positions or other quantities.
	2	Less-than-or-equal-to	Comparative-relation		(A, (Less-than-or-equal-to, B)) indicates that the relative size or order of A is smaller than or equal to B.
	2	Not-equal-to	Comparative-relation		(A, (Not-equal-to, B)) indicates that the size or order of A is not the same as that of B.
	1	Connective-relation	Relation		Indicates two entities are related in some way. The first entity is the focus.
	2	Belongs-to	Connective-relation		(A, (Belongs-to, B)) indicates that A is a member of B.
	2	Connected-to	Connective-relation		(A, (Connected-to, B)) indicates that A is related to B in some respect, usually through a direct link.
	2	Contained-in	Connective-relation		(A, (Contained-in, B)) indicates that A is completely inside of B.
	2	Described-by	Connective-relation		(A, (Described-by, B)) indicates that B provides information about A.
	2	From-to	Connective-relation		(A, (From-to, B)) indicates a directional relation from A to B. A is considered the source.
	2	Group-of	Connective-relation		(A, (Group-of, B)) indicates A is a group of items of type B.
	2	Implied-by	Connective-relation		(A, (Implied-by, B)) indicates B is suggested by A.
	2	Includes	Connective-relation		(A, (Includes, B)) indicates that A has B as a member or part.
	2	Interacts-with	Connective-relation		(A, (Interacts-with, B)) indicates A and B interact, possibly reciprocally.
	2	Member-of	Connective-relation		(A, (Member-of, B)) indicates A is a member of group B.
	2	Part-of	Connective-relation		(A, (Part-of, B)) indicates A is a part of the whole B.
	2	Performed-by	Connective-relation		(A, (Performed-by, B)) indicates that the action or procedure A was carried out by agent B.
	2	Performed-using	Connective-relation		(A, (Performed-using, B)) indicates that the action or procedure A was accomplished using B.
	2	Related-to	Connective-relation		(A, (Related-to, B)) indicates A has some relationship to B.
	2	Unrelated-to	Connective-relation		(A, (Unrelated-to, B)) indicates that A is not related to B.  For example, A is not related to Task.
	1	Directional-relation	Relation		A relationship indicating direction of change of one entity relative to another. The first entity is the focus.
	2	Away-from	Directional-relation		(A, (Away-from, B)) indicates that A is going or has moved away from B. The meaning depends on A and B.
	2	Towards	Directional-relation		(A, (Towards, B)) indicates that A is going to or has moved to B. The meaning depends on A and B.
	1	Logical-relation	Relation		Indicating a logical relationship between entities. The first entity is usually the focus.
	2	And	Logical-relation		(A, (And, B)) means A and B are both in effect.
	2	Or	Logical-relation		(A, (Or, B)) means at least one of A and B are in effect.
	1	Spatial-relation	Relation		Indicating a relationship about position between entities.
	2	Above	Spatial-relation		(A, (Above, B)) means A is in a place or position that is higher than B.
	2	Across-from	Spatial-relation		(A, (Across-from, B)) means A is on the opposite side of something from B.
	2	Adjacent-to	Spatial-relation		(A, (Adjacent-to, B)) indicates that A is next to B in time or space.
	2	Ahead-of	Spatial-relation		(A, (Ahead-of, B)) indicates that A is further forward in time or space in B.
	2	Around	Spatial-relation		(A, (Around, B)) means A is in or near the present place or situation of B.
	2	Behind	Spatial-relation		(A, (Behind, B)) means A is at or to the far side of B, typically so as to be hidden by it.
	2	Below	Spatial-relation		(A, (Below, B)) means A is in a place or position that is lower than the position of B.
	2	Between	Spatial-relation		(A, (Between, (B, C))) means A is in the space or interval separating B and C.
	2	Bilateral-to	Spatial-relation		(A, (Bilateral, B)) means A is on both sides of B or affects both sides of B.
	2	Bottom-edge-of	Spatial-relation	relatedTag=Left-edge-of, relatedTag=Right-edge-of, relatedTag=Top-edge-of	(A, (Bottom-edge-of, B)) means A is on the bottom most part or or near the boundary of B.
	2	Boundary-of	Spatial-relation		(A, (Boundary-of, B)) means A is on or part of the edge or boundary of B.
	2	Center-of	Spatial-relation		(A, (Center-of, B)) means A is at a point or or in an area that is approximately central within B.
	2	Close-to	Spatial-relation		(A, (Close-to, B)) means A is at a small distance from or is located near in space to B.
	2	Far-from	Spatial-relation		(A, (Far-from, B)) means A is at a large distance from or is not located near in space to B.
	2	In-front-of	Spatial-relation		(A, (In-front-of, B)) means A is in a position just ahead or at the front part of B, potentially partially blocking B from view.
	2	Left-edge-of	Spatial-relation	relatedTag=Bottom-edge-of, relatedTag=Right-edge-of, relatedTag=Top-edge-of	(A, (Left-edge-of, B)) means A is located on the left side of B on or near the boundary of B.
	2	Left-side-of	Spatial-relation	relatedTag=Right-side-of	(A, (Left-side-of, B)) means A is located on the left side of B usually as part of B.
	2	Lower-center-of	Spatial-relation	relatedTag=Center-of, relatedTag=Lower-left-of, relatedTag=Lower-right-of, relatedTag=Upper-center-of, relatedTag=Upper-right-of	(A, (Lower-center-of, B)) means A is situated on the lower center part of B (due south). This relation is often used to specify qualitative information about screen position.
	2	Lower-left-of	Spatial-relation	relatedTag=Center-of, relatedTag=Lower-center-of, relatedTag=Lower-right-of, relatedTag=Upper-center-of, relatedTag=Upper-left-of, relatedTag=Upper-right-of	(A, (Lower-left-of, B)) means A is situated on the lower left part of B. This relation is often used to specify qualitative information about screen position.
	2	Lower-right-of	Spatial-relation	relatedTag=Center-of, relatedTag=Lower-center-of, relatedTag=Lower-left-of, relatedTag=Upper-left-of, relatedTag=Upper-center-of, relatedTag=Upper-left-of, relatedTag=Lower-right-of	(A, (Lower-right-of, B)) means A is situated on the lower right part of B. This relation is often used to specify qualitative information about screen position.
	2	Outside-of	Spatial-relation		(A, (Outside-of, B)) means A is located in the space around but not including B.
	2	Over	Spatial-relation		(A, (Over, B)) means A above is above B so as to cover or protect or A extends over the a general area as from a from a vantage point.
	2	Right-edge-of	Spatial-relation	relatedTag=Bottom-edge-of, relatedTag=Left-edge-of, relatedTag=Top-edge-of	(A, (Right-edge-of, B)) means A is located on the right side of B on or near the boundary of B.
	2	Right-side-of	Spatial-relation	relatedTag=Left-side-of	(A, (Right-side-of, B)) means A is located on the right side of B usually as part of B.
	2	To-left-of	Spatial-relation		(A, (To-left-of, B)) means A is located on or directed toward the side to the west of B when B is facing north. This term is used when A is not part of B.
